City,Latitude,Temperature in F,Humidity (%),Cloudiness (%),Speed of Wind in MPH
Rikitea,-23.12,73.14,100,76,13.24
Vitim,59.44,37.32,80,0,3.51
Busselton,-33.64,61.89,96,48,21.07
Kruisfontein,-34.0,50.01,100,0,5.19
Hermanus,-34.42,33.63,95,44,3.06
Bluff,-23.58,71.97,22,0,12.24
Hobart,-42.88,60.8,51,20,13.87
Durango,37.28,82.22,2,1,9.17
Margate,-43.03,60.8,51,20,13.87
Punta Arenas,-53.16,42.8,60,0,10.29
Calama,-22.46,60.8,8,0,9.17
Weligama,5.97,77.37,96,12,7.65
Avarua,-21.21,84.2,66,20,4.7
Kaitangata,-46.28,50.19,93,56,4.63
Nanortalik,60.14,39.48,97,0,10.45
Atuona,-9.8,79.44,100,0,14.03
Ushuaia,-54.81,48.2,36,20,20.8
Isangel,-19.55,71.88,100,0,3.74
Seoul,37.57,71.47,53,40,9.17
Kapaa,22.08,84.24,81,40,13.87
Thompson,55.74,50.0,87,90,10.29
Longyearbyen,78.22,41.0,86,75,9.17
Ploemeur,47.73,58.23,100,40,6.2
Najran,17.54,82.4,12,0,6.93
Carnarvon,-30.97,22.56,61,0,3.96
Pinega,64.7,41.37,95,48,5.41
Bethel,60.79,57.92,61,1,10.29
Barrow,-38.31,51.0,62,92,12.8
Inhambane,-23.87,64.14,100,0,17.27
Bud,62.91,62.02,63,80,3.36
Waddan,29.16,82.68,34,20,8.43
Duku,11.24,70.08,100,92,6.98
Hornepayne,49.22,56.94,46,8,7.54
Albany,42.65,54.45,69,90,4.18
Ixtapa,20.71,91.4,66,75,4.7
Avera,33.19,81.63,61,1,8.05
Karratha,-20.74,68.19,64,0,12.12
Puno,-15.84,51.8,77,40,9.17
Mataura,-46.19,48.3,100,92,4.41
Vaini,15.34,66.03,100,80,1.28
Tomatlan,19.93,83.49,66,64,6.64
Dingle,11.0,79.35,94,24,3.51
Chuy,-33.69,54.87,85,0,13.58
Gat,14.69,73.4,100,90,6.93
Butaritari,3.07,79.26,100,88,10.22
Esperance,10.24,82.4,78,20,4.74
Kurikka,62.62,56.37,93,20,4.7
Mount Gambier,-37.83,56.31,93,76,4.52
Constitucion,23.99,64.4,77,90,5.82
Khatanga,71.98,37.14,81,80,6.98
Jamestown,-33.21,61.89,40,0,5.75
Mount Isa,-20.73,77.0,11,0,14.99
Koumra,8.92,69.18,99,80,3.06
Susurluk,39.91,65.41,82,0,2.24
Cape Town,-33.93,42.8,87,0,2.24
Nikolskoye,59.7,50.0,100,20,4.47
Booue,-0.09,69.36,100,92,2.84
Fortuna,38.18,72.5,73,20,5.82
Sitka,37.17,73.5,70,0,8.55
Cherskiy,68.75,59.01,48,0,12.01
Caluquembe,-13.78,52.53,82,0,2.39
Winnemucca,40.97,82.94,3,1,5.82
San Luis,-33.3,67.29,49,12,10.45
Half Moon Bay,37.46,76.62,77,1,13.87
Yellowknife,62.45,46.4,61,40,8.05
Kieta,-6.22,78.81,100,80,4.18
Muros,42.77,60.8,100,20,5.82
Kondoa,-4.91,57.93,96,56,4.63
Balabac,7.99,83.31,100,76,5.64
San-Pedro,4.75,73.59,97,92,6.08
Portland,45.52,77.56,31,20,4.7
Guerrero Negro,27.97,83.85,56,0,10.45
Chino Valley,34.76,85.17,18,75,10.29
Hithadhoo,-0.6,83.31,100,68,10.78
Yantal,56.85,47.94,85,36,2.17
Westport,53.8,55.41,84,92,17.72
Norman Wells,65.28,51.8,57,75,4.7
Port Elizabeth,39.31,61.18,92,90,17.22
Tilichiki,60.47,54.06,100,92,3.96
Mar del Plata,-46.43,45.24,76,0,7.31
Kuytun,54.34,50.46,99,92,3.96
Hilo,19.71,77.95,65,1,11.41
Parkes,-33.14,58.56,88,0,5.41
Castro,-42.48,42.18,92,0,0.94
Camacha,33.08,70.83,77,20,12.75
Chippewa Falls,44.94,62.49,50,1,3.36
Svetlogorsk,53.14,50.0,93,90,4.47
Torbay,47.66,50.0,87,75,4.7
Comodoro Rivadavia,-45.87,51.8,53,0,2.24
Sechura,-5.56,70.26,75,0,13.13
Aldan,58.61,36.24,72,64,3.06
Arraial do Cabo,-22.97,69.18,92,0,12.24
Coihaique,-45.58,42.53,70,0,1.83
Rawson,-43.3,51.99,39,0,13.24
Geraldton,49.72,55.4,58,40,14.99
Iqaluit,63.75,41.0,80,75,3.36
Codrington,-28.95,64.86,64,0,4.41
New Norfolk,-42.78,60.8,51,20,13.87
Bousse,49.28,58.5,59,0,2.24
Dikson,73.51,35.43,100,80,7.87
Methven,-43.63,47.13,94,12,4.18
Oussouye,12.49,78.76,83,20,4.7
Qaanaaq,77.48,28.14,100,0,7.43
Oistins,13.07,82.4,74,20,12.75
Ulaanbaatar,47.92,51.8,66,40,11.18
Souillac,45.6,61.79,87,0,4.7
Makakilo City,21.35,85.41,69,90,8.05
Taoudenni,22.68,90.96,23,80,7.65
Jiuquan,39.73,45.69,40,0,6.31
Banda Aceh,5.56,74.31,97,88,2.62
Yanam,16.73,76.74,90,24,3.51
Hualmay,-11.1,60.18,90,32,4.97
Namibe,-15.19,63.69,100,88,3.29
Georgetown,6.8,75.2,100,20,2.24
Pangnirtung,66.15,38.04,99,48,8.99
Saint-Philippe,45.36,53.78,55,1,6.93
Osorno,-40.57,44.25,88,0,2.95
Pirapemas,-3.73,74.13,88,0,4.74
Deputatskiy,69.3,49.56,96,92,3.74
Tadine,-21.55,72.33,95,32,6.42
Bilma,18.69,76.2,42,0,2.95
Ponta do Sol,-20.63,60.99,54,0,6.08
Atbasar,51.81,52.89,95,12,8.1
Arvika,59.65,59.0,87,92,9.17
Saldanha,41.42,60.36,88,68,4.41
Karaton,-6.34,78.8,74,20,4.7
Aksu,52.04,51.8,93,75,6.71
Shimoda,34.7,77.0,94,75,3.36
Giyon,8.53,51.54,94,36,2.51
Montijo,38.71,64.6,82,0,13.87
Abu Kamal,34.45,70.26,40,0,2.95
Faanui,-16.48,77.64,100,24,7.43
Puerto Ayora,-0.74,73.4,69,20,16.11
Lufilufi,-13.87,80.43,100,0,7.43
Merauke,-8.49,81.51,75,12,14.81
Jilin,43.84,58.56,78,0,4.52
Pangody,65.85,34.08,91,80,19.06
Ribeira Grande,38.52,75.03,97,44,7.2
Te Anau,-45.41,42.81,100,92,3.4
Taksimo,56.36,32.28,73,0,2.17
Hirara,24.8,82.4,78,75,6.93
Kalabo,-15.0,60.63,27,0,8.99
Palmeirais,-5.97,81.6,54,48,3.18
Am Timan,11.04,70.44,94,76,5.75
Marawi,8.0,72.87,95,24,2.62
Luoyang,34.66,68.01,60,24,6.2
Seddon,-41.67,50.73,93,0,3.96
Vila,45.18,67.12,88,20,10.29
Kavieng,-2.57,80.16,100,88,9.66
Estelle,32.87,71.91,71,90,12.75
Saint Anthony,43.97,76.98,3,1,12.75
Rochegda,62.67,33.27,82,0,2.39
Kochi,9.96,77.0,94,40,5.53
Ancud,-41.87,42.81,87,0,2.17
Bayji,34.93,68.73,39,0,2.73
Tuktoyaktuk,69.44,37.4,93,90,20.8
Ust-Ordynskiy,52.8,46.4,100,90,2.24
Hasaki,35.73,77.65,100,90,10.29
Leningradskiy,69.38,51.9,71,24,4.29
Nushki,29.55,57.21,38,0,2.39
Homer,59.64,57.0,77,1,10.29
Egvekinot,66.32,61.98,78,32,3.18
Awbari,26.59,72.51,25,32,2.73
Alofi,-19.06,78.8,69,88,10.29
Alta Floresta,-9.87,85.74,38,12,3.51
Honningsvag,70.98,44.16,86,0,5.3
Cabo San Lucas,22.89,80.6,83,90,8.05
Lebu,8.96,50.01,76,64,2.28
Mahebourg,-20.41,69.54,79,24,12.68
Caapucu,-26.22,69.36,63,0,7.65
San Matias,13.97,69.8,77,40,13.87
Bollnas,61.35,54.87,89,44,5.64
Genhe,50.78,42.81,78,80,3.62
Esil,51.96,51.72,96,0,8.55
Solak,36.96,73.4,49,0,8.05
Tasiilaq,65.61,41.0,86,92,6.93
Kaka,37.35,55.68,72,0,3.51
Port Alfred,-33.59,55.41,100,36,7.31
Tura,25.52,75.3,95,44,4.74
Yatou,3.63,77.0,100,75,2.24
Maiduguri,11.84,69.99,99,92,9.55
Hamilton,43.26,57.94,67,75,24.16
Vershino-Darasunskiy,52.35,42.09,85,88,2.95
Arlit,18.74,72.78,89,24,1.28
Yenotayevka,47.24,61.71,55,48,8.77
Chapais,49.78,44.6,65,1,4.7
Aksarka,66.56,31.56,93,0,11.9
Laguna,27.52,89.6,55,40,13.87
Luan,46.36,62.51,63,0,0.16
Jiquinlaca,14.0,74.76,89,100,2.06
Severo-Kurilsk,50.68,53.43,94,8,3.74
Smithers,54.78,48.2,93,90,6.93
Miyako,33.63,75.15,57,75,13.87
Hay River,60.82,50.0,51,40,3.36
Uvira,-3.41,59.73,100,36,2.51
Saskylakh,71.97,34.26,83,88,4.74
Cap Malheureux,-19.98,72.24,100,24,20.07
Soe,57.91,57.2,82,76,5.82
Presidente Olegario,-18.42,61.71,47,0,6.98
Tateyama,36.66,68.0,94,75,14.99
Brae,60.4,52.81,81,64,13.87
